key,root_form,root_gloss,form,claude-sonnet-5,claude-opus-5-5,both_fit
g1,ء ت ي,"to compensate, to recompense",III,fits,cannot_tell,no
g2,ء خ ر,"to postpone, to set back",II,fits,fits,yes
g3,ح ر ك,"to depart, to leave",V,wrong,fits,no
g4,ر و د,"to want, will",IV,fits,fits,yes
g5,ص د م,"to collide, to knock against each other",VI,fits,fits,yes
g6,ع م ل,to do business with,III,fits,fits,yes
g7,ك ل م,"to speak, to talk",II,fits,fits,yes
g8,م د د,to grant a delay of payment,IV,fits,fits,yes
g9,م و ل,to make rich,II,wrong,fits,no
g10,ن و ع,to diversify,II,fits,fits,yes
g11,ص ع ب,"to be hard, difficult",I,fits,fits,yes
g12,د و ر,"to turn, to revolve",I,fits,fits,yes
g13,ش ب ه,"to resemble, to bear a resemblance",I,fits,fits,yes
g14,د ر ب,"to accustom oneself to, become familiar with",I,fits,fits,yes
g15,ز ر ق,"to pierce, to thrust",I,fits,fits,yes
g16,ك ث ر,"to be many, to be numerous",I,fits,fits,yes
g17,ن ظ ر,"to look, to gaze",I,fits,fits,yes
g18,ط ر ق,"to beat, to knock",I,fits,fits,yes
g19,ب ر ه ن,"to prove, to establish evidence",I,fits,fits,yes
g20,ح د د,"to prevent, to restrain",I,fits,fits,yes
g21,و ج د,"to find, to hit upon",I,fits,fits,yes
g22,س ر ع,"to be quick, to hurry",I,fits,fits,yes
g23,ح و ل,"to change, to be transformed",I,fits,fits,yes
g24,ج ن ب,"to turn aside, decline",I,fits,fits,yes
g25,ب د ن,to be or become fat,I,fits,fits,yes
g26,ه ن ء,"to be wholesome to, to help",I,fits,fits,yes
g27,و ف ي,to fulfill,I,fits,fits,yes
g28,ق و ل,to say,I,fits,fits,yes
g29,ل ح ظ,to look from the corner of one's eyes,I,fits,fits,yes
g30,ar:ع ر ف,to be familiar with,I,fits,fits,yes
