cluster,node_ids,claim,new_tier,arxiv_id,date,kind,title,what_it_changes,journal_ref
hardware,H-neutral;S-qec;S-logical,C-ftqc-timeline,T3,2604.25987v1,2026-04-28,experiment,High-fidelity entangling gates and nonlocal circuits with neutral atoms,99.85% two-qubit gate fidelity on neutral atoms advances hardware baseline for below-threshold QEC demonstrations.,
hardware,H-ion;S-qec,C-ftqc-timeline,T3,2605.16010v1,2026-05-15,experiment,Demonstration of a Multiplexing Trapped Ion Quantum Processing Unit,Demonstrates multiplexing scalability for trapped-ion QPUs; addresses wiring bottleneck to fault-tolerant scale.,
hardware,H-supercon;S-qec,C-ftqc-timeline,T3,2606.10719v1,2026-06-09,experiment,Ultra-high Q-factor superconducting tantalum resonators on 300 mm Si wafers,"Demonstrates industrial-scale ultra-high-Q superconducting resonators (>40M median, >60M peak) on 300mm wafers, enabling hardware-efficient bosonic error correction and scaling.",
hardware,H-silicon;S-qec,C-ftqc-timeline,T3,2606.28695v1,2026-06-27,experiment,High-Fidelity Hole Spin Qubits Reveal Quadrupolar Nuclear-Bath Dynamics in Isotopically Purified Planar Germanium,"Demonstrates 99.9% single-qubit Ge-hole fidelity via isotopic purification, advancing hardware records for spin-qubit platform.",
hardware,H-supercon;S-qec,C-ftqc-timeline,T3,2607.01422v1,2026-07-01,experiment,High-Precision Calibration Workflow Achieves Above $99.9\%$ CZ Gate Fidelity on a Scalable Superconducting Processor,Demonstrates 99.9% CZ fidelity on 84-qubit processor; advances two-qubit gate benchmark supporting FTQC feasibility.,
hardware,H-neutral;S-qec;S-logical,C-ftqc-timeline,T3,2607.02804v1,2026-07-02,experiment,Fault-tolerant quantum computation with static atomic buses,Demonstrates logical-qubit error correction and gate operations on neutral-atom hardware with simulated >10× improvement over prior architectures.,
hardware,H-topo,C-majorana-existence,T2,2605.06150v1,2026-05-07,experiment,Josephson spectroscopy study of kagome superconductors toward the deep point-contact regime,Demonstrates zero-bias conductance saturation in point-contact regime mimics Majorana signatures; cautions against misinterpretation in topological-qubit searches.,"Phys. Rev. B 113, 174502 (2026)"
hardware,H-topo,C-majorana-existence,T2,2605.20437v1,2026-05-19,experiment,"Superconducting PdTe Thin Film Via Topotactic Transformation, Toward Topological Superconductors",Demonstrates high-quality superconducting PdTe thin films via MBE; enables experimental platforms for Majorana detection but does not yet evidence MZMs.,"ACS Appl. Nano Mater. 2026, 9, 10684"
hardware,H-topo,C-majorana-existence,T3,2604.26002v1,2026-04-28,experiment,Exposing impostor Majorana zero modes through atomic-scale shot-noise,"Demonstrates shot-noise method to distinguish trivial zero-bias peaks from true Majorana modes; directly addresses impostor problem in Fe(Se,Te).",
hardware,H-topo,C-majorana-existence,T3,2605.00669v1,2026-05-01,experiment,Experimental Evidence of Fractional Entropy in Critical Kondo Systems,"Independent thermodynamic evidence of non-Abelian anyons (Majorana, Fibonacci) via fractional entropy in Kondo systems.",
hardware,H-topo,C-majorana-existence,T3,2606.04544v2,2026-06-03,experiment,Probing PbTe-Pb nanowire devices with radio-frequency reflectometry,Demonstrates rf reflectometry compatibility with PbTe-Pb nanowires under magnetic fields; advances measurement capability for topological-qubit platforms.,
hardware,H-topo,C-majorana-existence,T3,2606.10001v1,2026-06-08,experiment,"Fabry-Perot Interference, g-factor Anisotropy, and Gate-Tunable Quantum dot in Chiral Tellurium Nanowires","Demonstrates Majorana-platform prerequisites (spin-orbit gap, g-factor anisotropy, quantum coherence) in elemental tellurium; not Majorana detection but materials foundation.",
hardware,H-topo,C-majorana-existence,T3,2606.17499v1,2026-06-16,experiment,"Distinguishing Majorana zero modes from trivial defect states on the surface of the iron-based superconductor Fe(Te,Se)","Independent experimental replication showing Fe(Te,Se) zero modes are trivial Yu-Shiba-Rusinov states, not Majoranas—directly challenges topological-superconductor claim.",
hardware,H-photonic;S-qec,C-photonic-scaling,T3,2606.24002v1,2026-06-22,experiment,Picosecond Schrödinger cat states for ultrafast optical quantum processing,"Demonstrates high-rate non-Gaussian state generation at picosecond timescales, addressing temporal-mode bottleneck for fault-tolerant photonic QC.",
hardware,H-photonic,C-photonic-scaling,T3,2606.27787v1,2026-06-26,experiment,Industry-ready spin-photon interfaces for hybrid photonic quantum computing,"Demonstrates production-line QD devices with near-unity photon purity, multi-photon entanglement, and path toward fault-tolerance loss thresholds.",
hardware,H-photonic;S-qec,C-photonic-scaling,T3,2607.01324v1,2026-07-01,experiment,Integrated Photon-Memory Entanglement Generation using Dual Photonic Resonators,First integrated photon-memory entanglement on chip; demonstrates scalable quantum-repeater building block with published loss budgets and multimode storage capacity.,
hardware,H-supercon;H-fab,C-tls-scaling,T3,2604.09050v1,2026-04-10,experiment,Tantalum-Encapsulated Niobium Superconducting Resonators: High Internal Quality Factor and Improved Temporal Stability via Surface Passivation,Demonstrates fab control of TLS density via Ta encapsulation; shows scaling path and temporal stability data.,
hardware,H-supercon,C-tls-scaling,T3,2605.03187v1,2026-05-04,experiment,Operating a bistable qubit,Demonstrates adaptive mitigation of TLS-induced dephasing in superconducting qubits with 77% error reduction; addresses whether TLS defects are a fundamental scaling wall.,
hardware,H-supercon;H-fab,C-tls-scaling,T3,2605.02755v1,2026-05-04,experiment,Readout failures in superconducting qubits due to TLS-defects in tunnel junctions,Demonstrates TLS-readout resonator coupling as a scaling mechanism limiting qubit fidelity; supports TLS as a fundamental scaling wall.,
