# Domain L (Measurement & Biomarkers) — OpenAlex raw fetch, 2026-06-27
# hook-safe: curl -sf -o file (saved then parsed separately). mailto=gianyrox@gmail.com
# Verified primary sources (DOI | first author | year | venue):
10.1161/CIR.0000000000000461     | Ross      | 2016 | Circulation (AHA: CRF as a clinical vital sign)
10.1136/bmj.312.7041.1254        | Marshall  | 1996 | BMJ (BMD predicts fracture — meta)
10.1093/gerona/61.1.72           | Newman    | 2006 | J Gerontol A (strength, not DXA lean mass, predicts mortality — Health ABC)
10.1038/oby.2006.43              | Kuk       | 2006 | Obesity (visceral fat independent all-cause mortality predictor)
10.1001/jama.2010.1923           | Studenski | 2011 | JAMA (gait speed & survival — pooled 9 cohorts, ~34k)
10.1016/j.jamda.2018.06.007      | Veronese  | 2018 | JAMDA (gait speed & mortality — meta)
10.1136/bmj.c4467                | Cooper    | 2010 | BMJ (objective physical capability & mortality — grip/gait/chair/balance, meta)
10.1001/jamacardio.2019.3780     | Sniderman | 2019 | JAMA Cardiol (apoB particles & CVD — review)
10.1161/circoutcomes.110.959247  | Sniderman | 2011 | Circ CQO (apoB vs LDL-C vs non-HDL — apoB superior, meta)
10.1001/jamacardio.2021.5083     | Marston   | 2022 | JAMA Cardiol (apoB & MI risk)
10.1093/eurheartj/ehx144         | Ference   | 2017 | Eur Heart J (LDL causal for ASCVD — EAS consensus)
10.1371/journal.pmed.1003062     | Richardson| 2020 | PLoS Med (multivariable MR: apoB is the causal lipid trait)
10.1001/jama.2009.801            | Kamstrup  | 2009 | JAMA (genetically elevated Lp(a) & MI)
10.1056/NEJMoa0902604            | Clarke    | 2009 | NEJM (Lp(a) variants & coronary disease)
10.1016/S0140-6736(09)61717-7    | Kaptoge/ERFC | 2010 | Lancet (CRP & CHD/stroke/mortality — IPD meta)
10.1136/bmj.d548                 | CCGC      | 2011 | BMJ (CRP Mendelian randomisation — NOT causal)
10.1056/NEJMoa0807646            | Ridker    | 2008 | NEJM (JUPITER — rosuvastatin in elevated CRP)
10.1056/NEJMoa0908359            | Selvin    | 2010 | NEJM (HbA1c & CVD in nondiabetic adults)
10.1016/S0140-6736(10)60484-9    | ERFC      | 2010 | Lancet (fasting glucose & vascular risk — 102 studies)
10.2337/diacare.25.7.1177        | Hanley    | 2002 | Diabetes Care (HOMA-IR & incident CVD — IRAS)
10.1210/jc.2011-1377             | Burgers   | 2011 | JCEM (IGF-1 & mortality — meta, U-shaped)
10.1161/01.CIR.90.2.878          | Tsuji     | 1994 | Circulation (reduced HRV & mortality — Framingham)
10.3389/fpubh.2017.00258         | Shaffer   | 2017 | Front Public Health (HRV metrics & norms — method/validity)
10.1093/sleep/zsaa291            | Chinoy    | 2021 | SLEEP (7 consumer sleep trackers vs PSG)
10.2337/dc07-2401                | Kovatchev | 2008 | Diabetes Care (numerical/clinical accuracy of 4 CGMs)
10.2337/dc17-1600                | Danne     | 2017 | Diabetes Care (international CGM consensus / time-in-range)
