slug,final_class,provenance_class,content_type,is_real_data_image,house_style,quality,legibility,prominence,priority,generator,chapter,issues
01-claims-by-tier,A-original,A-original,data_chart,False,True,4,4,1,1,build_charts.py,00-atlas.md,Minor: grid lines slightly faint; label order requires mental ranking
100-air-pollution,A-original,A-original,data_chart,False,True,4,4,1,1,build_wave8.py,09-exposures-environment.md,None
24-alcohol-jcurve,A-original,A-original,data_chart,False,True,4,4,1,1,build_wave2.py,09-exposures-environment.md,Red line slope inconsistent with axis label claim; color legibility marginal
25-responder-distribution,A-original,A-original,data_chart,False,True,4,4,1,1,build_wave2.py,04-individual-variation.md,"None—clean, well-executed publication chart."
26-verdict-donut,A-original,A-original,data_chart,False,True,4,4,1,1,build_wave2.py,46-practitioner-claims-vs-evidence.md,Understatement framing may reduce claim credibility slightly
35-glp1-outcomes,A-original,A-original,data_chart,False,True,4,5,1,1,build_wave3.py,10-medical-pharmacology.md,none
36-statin-nnt,A-original,A-original,data_chart,False,True,4,5,1,1,build_wave3.py,10-medical-pharmacology.md,none
47-vaccines-longevity,A-original,A-original,data_chart,False,True,4,5,1,1,build_wave4.py,10-medical-pharmacology.md,none
58-hearing-dementia,A-original,A-original,data_chart,False,True,4,4,1,1,build_wave5.py,08-brain-cognitive.md,none
69-lpa-risk,A-original,A-original,data_chart,False,True,4,5,1,1,build_wave6.py,22-disease-cardiometabolic-renal.md,none
71-zone2-hiit,A-original,A-original,data_chart,False,True,4,5,1,1,build_wave6.py,02-training.md,none
73-immunosenescence,A-original,A-original,data_chart,False,True,4,4,1,1,build_wave6.py,15-immune-system.md,none
82-bmi-jcurve,A-original,A-original,data_chart,False,True,4,5,1,1,build_wave7.py,22-disease-cardiometabolic-renal.md,none
83-testosterone-age,A-original,A-original,data_chart,False,True,4,5,1,1,build_wave7.py,13-endocrine-hormones.md,none
97-leading-causes,A-original,A-original,data_chart,False,True,4,5,1,1,build_wave8.py,33-public-health-systems.md,none
A02-nephron,A-original,A-original,schematic_diagram,False,True,4,5,1,1,build_body_anat.py,17-organ-systems-atlas.md,none
A07-oral-systemic,A-original,A-original,schematic_diagram,False,True,4,5,1,1,build_body_anat.py,11-body-systems.md,none
