?e	?t	?prec	?cal
<http://www.wikidata.org/entity/Q10872057>	1949-10-01T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q109803885>	1949-02-14T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q110685305>	2021-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q111917713>	1969-11-17T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q112243708>	2004-03-29T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q113955168>	2022-09-13T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q11443166>	2009-11-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q115300617>	2022-11-17T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q115498546>	2022-11-13T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q116286589>	2023-01-16T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q119855415>	2021-03-17T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q126373743>	2024-06-06T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q129676126>	2024-08-20T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q130008314>	1950-01-03T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q130008379>	1957-05-07T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q13017652>	2006-06-09T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q13017658>	1963-12-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q13017665>	1975-12-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q13017666>	1987-12-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q13017668>	2011-12-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q13017669>	1999-12-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q13017670>	2007-12-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q13017671>	1988-07-02T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q13017671>	1988-07-03T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q13017680>	1977-12-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q130552906>	2024-11-30T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q130553101>	2024-12-01T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q131198847>	2024-10-29T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q131419282>	1977-12-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q131419536>	1982-08-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q131419559>	1984-10-21T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q131419653>	1992-08-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
