key,lang,word,root_lang,root_form,root_gloss,claude-sonnet-5,claude-haiku-4-5-20251001,consensus
nw:b54165b9-6a51-4a43-9907-f7d6cfc7f8f9,nl,divergentie,la,dīvergō,to diverge,correct,correct,correct
nw:7d88f3e2-c5ee-4d4b-adc9-6f6ab72befa4,nl,predicaat,frm,predicat,,correct,correct,correct
nw:85d660bd-0895-485a-8cbd-37364fe59f42,fi,konfiguraatio,la,cōnfigūrātiō,configuration,correct,correct,correct
nw:427268a7-8eb9-4ed0-8b2f-37063ac4efcf,tr,gaz,nl,gas,gas,correct,cannot_tell,
nw:54c6a388-4721-40f6-a589-c86762c63db5,pt,série,la,seriēs,series; row,correct,correct,correct
nw:8a79b826-5197-43e5-bfad-3774269f3e1b,fr,logique propositionnelle,la,logica,logic,cannot_tell,correct,
nw:8b1b6ff6-60bb-4836-8236-0e8953f63e3b,pt,dificuldade,la,difficultās,difficulty,correct,correct,correct
nw:1d8682c2-d895-4c4c-b98d-54a484052b05,es,método,la,methodus,method,correct,correct,correct
nw:10c523a2-7e78-46c3-8b82-02faafae8080,pl,struktura,itc-pro,*strowō,"to pile up, construct",correct,correct,correct
nw:9f7cb705-111c-4821-832e-0f89a79aaf1f,cs,metoda,la,methodus,method,correct,correct,correct
nsm:say|de|sagen,de,sagen,gem-pro,*sagjaną,to say,correct,correct,correct
nsm:near|ang|nēah,ang,nēah,gem-pro,*nēhwaz,near,correct,correct,correct
nsm:part|tr|kısım,tr,kısım,ota,قسم,part,correct,correct,correct
nsm:big|fr|grand,fr,grand,frm,grand,great,correct,correct,correct
nsm:i|he|אֲנִי,he,אֲנִי,he,א־נ־ה,ships,wrong_homograph,wrong_homograph,wrong_homograph
