slug,provenance_class,generator,prominence,chapter
01-claims-by-tier,A-original,build_charts.py,1,00-atlas.md
02-copenhagen-sports,A-original,build_charts.py,1,45-sports-play.md
03-vo2max-mortality,A-original,build_charts.py,1,02-training.md
04-energy-stack,A-original,build_schematics.py,1,01-foundations.md
05-nutrient-switchboard,A-original,build_schematics.py,1,01-foundations.md
07-calibration-spectrum,A-original,build_figures.py,1,46-practitioner-claims-vs-evidence.md
08-what-to-track,A-original,build_figures.py,1,WHAT-TO-TRACK-SYNTHESIS.md
09-lancet14-dementia,A-original,build_charts.py,1,08-brain-cognitive.md
10-hallmarks-cancer,A-original,build_schematics.py,1,25-oncology.md
100-air-pollution,A-original,build_wave8.py,1,09-exposures-environment.md
101-central-dogma,A-original,build_wave8.py,1,01-foundations.md
102-cholesterol-particles,A-original,build_wave8.py,1,22-disease-cardiometabolic-renal.md
103-the-cell,A-original,build_wave8.py,1,01-foundations.md
104-longevity-pipeline,A-original,build_wave8.py,1,31-regenerative-frontier.md
105-red-flags,A-original,build_wave8.py,1,34-emergency-acute.md
11-cpr-card,A-original,build_cards.py,1,34-emergency-acute.md
12-befast-card,A-original,build_cards.py,1,34-emergency-acute.md
13-anaphylaxis-card,A-original,build_cards.py,1,34-emergency-acute.md
14-bayes-ppv,A-original,build_cards.py,1,41-pathology-lab-medicine.md
15-fasting-timeline,A-original,build_figures.py,1,36-fasting-cleanses-protocols.md
16-mitochondria-section,A-original,build_schematics.py,1,37-mitochondrial-health.md
17-organ-systems-map,A-original,build_schematics.py,1,18-genetics-anatomy.md
18-mechanism-convergence,A-original,build_cards.py,1,12-mechanism-bridge.md
19-emergency-wallet,A-original,build_cards.py,1,34-emergency-acute.md
20-strength-jcurve,A-original,build_wave2.py,1,02-training.md
21-steps-plateau,A-original,build_wave2.py,1,02-training.md
22-sleep-ushape,A-original,build_wave2.py,1,05-recovery-sleep-stress.md
23-sauna-mortality,A-original,build_wave2.py,1,05-recovery-sleep-stress.md
24-alcohol-jcurve,A-original,build_wave2.py,1,09-exposures-environment.md
25-responder-distribution,A-original,build_wave2.py,1,04-individual-variation.md
26-verdict-donut,A-original,build_wave2.py,1,46-practitioner-claims-vs-evidence.md
27-lifespan-ledger,A-original,build_wave2.py,1,33-public-health-systems.md
28-supplement-matrix,A-original,build_wave2.py,1,03-nutrition-supplements.md
29-modality-matrix,A-original,build_wave2.py,1,44-exercise-modalities.md
30-hallmarks-aging,A-original,build_wave2.py,1,01-foundations.md
31-four-horsemen,A-original,build_wave2.py,1,07-clinical-prevention.md
32-apob-cumulative,A-original,build_wave3.py,1,22-disease-cardiometabolic-renal.md
33-protein-dose,A-original,build_wave3.py,1,03-nutrition-supplements.md
34-resting-hr,A-original,build_wave3.py,1,WHAT-TO-TRACK-SYNTHESIS.md
35-glp1-outcomes,A-original,build_wave3.py,1,10-medical-pharmacology.md
36-statin-nnt,A-original,build_wave3.py,1,10-medical-pharmacology.md
37-biohacking-matrix,A-original,build_wave3.py,1,32-biohacking-fringe.md
38-cam-matrix,A-original,build_wave3.py,1,30-complementary-medicine.md
39-evidence-ladder,A-original,build_wave3.py,1,00-atlas.md
40-weekly-program,A-original,build_wave3.py,1,02-training.md
41-atherosclerosis-cascade,A-original,build_wave3.py,1,22-disease-cardiometabolic-renal.md
