score	concepts	kinds	video	timestamp	url_ts	text
9	blue-light	always,because,only	Dr Jack Kruse _Anti-aging scientists wrong! Truth about  mTO	00:46:31.500	https://www.youtube.com/watch?v=cy8cByk8H00&t=2791	really really appreciated because you know the one thing that's always flummoxed me he goes why do we have so much melanops in our brain we all know blue light doesn't get through
9	blue-light	always,because,only	Dr Jack Kruse _Anti-aging scientists wrong! Truth about  mTO	00:46:33.780	https://www.youtube.com/watch?v=cy8cByk8H00&t=2793	because you know the one thing that's always flummoxed me he goes why do we have so much melanops in our brain we all know blue light doesn't get through our skull except through our eyes
9	circadian	never,because,only	Dr Jack Kruse On Biohacking Your Water, EMFs, Blue Light, DH	00:44:07.680	https://www.youtube.com/watch?v=kZZSLQFZnQM&t=2647	that because it controls circadian biology what have I been consistent about like when you read the letin prescription those six steps the one thing you're never going to see in there
8	mitochondria,red-light	always,never,because	Beyond DNA: The Electromagnetic Blueprint of Life - Jack Kru	01:11:21.900	https://www.youtube.com/watch?v=zrdRVDk66JE&t=4281	why red light has such tremendous benefits for mitochondria why because sunlight always has red in it when Blue's available but guess what your iPhone never does that's the whole
8	red-light	always,never,because	Blue Light Kills the Fit People | Dr. Jack Kruse | EP 15	00:27:44.679	https://www.youtube.com/watch?v=0IjUzKzfIbI&t=1664	underwear yeah to come down because he technically gets red light when he does that and it the the answer always for every human is natural light no matter what is always better yeah never make
8	leptin	always,never,because	The Science of Sunlight and Cold: This Will Transform Your H	00:48:57.319	https://www.youtube.com/watch?v=2EqExGl4rQU&t=2937	leptin prescription never never dealt with why because remember when I wrote it I wrote it in 2005 to 2008 okay melan opson we didn't find out about until 2017 I always knew there was an option
8	mitochondria	always,never,because	Red Light, Blue Light, Brain Damage: Dr. Jack Kruse Explains	00:23:33.280	https://www.youtube.com/watch?v=2njvFN-W4zc&t=1413	because guess what? The guy that controlled the budget, Anthony Fouchy, made sure we always focused in on RNA and DNA, not the mitochondrial DNA. That's why you never learned about UPES.
8	red-light	always,never,must	Sunlight Is the Source of Life | Dr. Jack Kruse | EP 04	01:15:11.400	https://www.youtube.com/watch?v=6ClqKnD10p4&t=4511	to send sets red light is always present UVA light UVB light especially where you guys are it changes die early and sees them so you need to realize that purple light is never present on Earth without
8	vitamin-d	must,because,only	Toxic Screens: How to Protect Eyes from Blue Light with Dr. 	00:29:18.159	https://www.youtube.com/watch?v=9zJynVS_rYc&t=1758	sense because that lowers your vitamin d level and that's the one thing that's been shown to be very beneficial for kovit19 so i think people need to realize that
8	vitamin-d	causes,because,only	Neuro Surgeon by Day | Mito Hacker By Night | Dr. Jack Kruse	00:55:21.910	https://www.youtube.com/watch?v=I537lQoiu5c&t=3321	"and you start going through the ophthalmologist literature and the dermatologist literature ... One of the things that I love doing because you know I'm a shit stirrer in medicine, I love sitting down with the dermatologists and say, ""Tell me, why is it that people have the highest rates of melanoma and skin cancers, have the lowest levels of Vitamin D, if UV light is the cause, and we know that 3"
