key,table,lang,word,roman,sense,root_lang,root_form,root_gloss,confidence,root_confidence,row
nw:dc2353ae-386b-4ecf-a35f-3fc0f0c3d1bc,node_words,zh,謂語,wèiyǔ,predicate,zh,謂 + 語,to say + to speak,0.76,,nw|0340f23a-0ab0-4630-b923-4a26d5679a32|zh|謂語
nw:0157cb8b-ce00-4711-844b-a1fa1e8fc6b1,node_words,zh,分配,fēnpèi,to distribute; to hand out; to issue; to dispense; to allocate,zh,分 + 配,to divide + to match,0.68,,nw|0767c4e1-045b-4940-9ffa-4c3788372112|zh|分配
nw:ea791ca2-a15b-4fd1-ad27-c50884ffbd75,node_words,zh,域,yù,fief,zh,土 + 或,soil + halberd,0.7,,nw|d1d7a21e-f32d-41a0-ba77-ca1b9085acb7|zh|域
nw:222c7f98-da50-46be-a608-232db053a205,node_words,zh,學習,xuéxí,to study; to learn; to acquire (knowledge),zh,學 + 習,to comprehend + to flap (the wings),0.7,,nw|e7fedd79-94a2-472a-ab98-0953426bb335|zh|學習
nw:3ee2ce2a-0b1c-4f0e-82ab-31cd14be186d,node_words,zh,各向异性,gèxiàngyìxìng,the property of being directionally dependent,zh,各 + 向 + 异 + 性,each + to face + to lift + nature,1,,nw|35c34832-f978-4e30-afc3-cbfdad8a1f80|zh|各向异性
nw:47a3feeb-fff9-4cde-85da-96c94ccc8ff9,node_words,ja,理論,riron,theory,zh,理 + 論,to cut and polish jade + to discuss,0.5,,nw|74213009-90b8-4830-9e82-f29f03d80cd2|ja|理論
nw:3c34db10-e142-4599-9ad4-a4c42f74bc26,node_words,zh,量子場論,liàngzǐchǎnglùn,quantum field theory,zh,量 + 子 + 場 + 論,to measure + child + open space + to discuss,1,,nw|a128c29c-31e5-453c-bf5b-03c332cbe8a0|zh|量子場論
nw:a0965273-5e7d-4c87-8720-e05a8d3c1765,node_words,zh,完整性,wánzhěngxìng,completeness; integrity; integrality; wholeness,zh,完 + 整 + 性,whole + to gather + nature,1,,nw|a5cdb863-007b-482f-9cf3-24f6d331af68|zh|完整性
nw:25d4caed-e7f5-4074-8f46-0c3f9b076e54,node_words,zh,質量,"zhìliàng, zhíliàng",mass,zh,質 + 量,matter + to measure,0.95,,nw|953484d9-2dae-4f53-9bc2-4cba66828428|zh|質量
nw:b96fb2b9-f02c-4980-900d-35b083169029,node_words,de,komplexe Zahl,,complex number,ine-pro,*del-,"to reckon, calculate",1,,nw|d95c0613-81a5-47a5-a3f4-447e023e4118|de|komplexe Zahl
nw:ac56d9a2-0d27-4240-89cb-9273c68eb53b,node_words,de,Elastizität,,elasticity,de,elastisch,elastic,0.95,,nw|8092533d-b15d-4c8f-9414-8b0bf4becde8|de|Elastizität
nw:6d05e5bf-fbf6-48cf-8ba0-7a76a6969434,node_words,nl,wet,,law (rule),ine-pro,*weyd-,"see, know",0.56,,nw|7dea2ff9-c5cd-426d-be6b-751f577fa58b|nl|wet
nw:c63e47fb-da0a-4ed5-a683-9f50d23e1a2f,node_words,nl,halfgeleider,,a semiconductor (substance with electrical conductivity properties),nl,half,"half-, semi-",1,,nw|c6655c5c-10d5-46d0-afdc-ab5b0d4654a7|nl|halfgeleider
nw:2ded74df-bc33-4dc0-85c1-f5ca2c317f62,node_words,en,ion,,"An atom or group of atoms bearing an electrical charge, such as the sodium and chlorine atoms in a salt solution.",grc,εἶμι,I go,1,,nw|91b17b06-5554-4390-850b-8fca4043bef8|en|ion
nw:1704e4df-c53e-40f5-bffc-5a214965b9dc,node_words,en,equation,,"The act or process of equating two or more things, or the state of those things being equal (that is, identical).",la,aequus,"level, equal",0.85,,nw|47e6d29e-dd9f-4ef1-bed1-1da845e6e63a|en|equation
nw:b54165b9-6a51-4a43-9907-f7d6cfc7f8f9,node_words,nl,divergentie,,divergence,ine-pro,*h₂wérg-e-ti,,0.95,,nw|4c708fdb-e93f-48fa-be7b-dd4f86c94949|nl|divergentie
nw:48e2f363-3412-4e6e-b1ec-b9bc2425f6f3,node_words,de,Kerze,,candle,la,cēra,wax,1,,nw|c6dfcdbc-9bda-4f65-95c6-379d9d663af6|de|Kerze
nw:4361dd20-55c7-4aa4-968d-08b9d682635e,node_words,en,neuron,,"A cell of the nervous system, which conducts nerve impulses; consisting of an axon and several dendrites. Neurons are connected by synapses.",ine-pro,*(s)neh₁-,spin,1,,nw|841dfcd4-3bf2-497b-a7d6-8724c976e9c7|en|neuron
nw:37bb4ed6-8ec4-4ea4-87f2-d41d796c7431,node_words,en,field,,"A land area free of woodland, cities, and towns; an area of open country.",ine-pro,*pleth₂-,to spread,0.95,,nw|fc3b3f58-9747-4794-b2d1-bbc2a9016b21|en|field
nw:aca5f44b-2e1f-468f-8f04-9c11ad815b62,node_words,nl,maat,,"measure, size",ine-pro,*med-,"to become full, sated",0.85,,nw|a865a1ae-3e32-462f-a0f9-6bb377f45b2f|nl|maat
nw:7d88f3e2-c5ee-4d4b-adc9-6f6ab72befa4,node_words,nl,predicaat,,predicate,la,praedicātus,"proclaimed, having been proclaimed, declared publicly, having been declared publicly",0.95,,nw|0340f23a-0ab0-4630-b923-4a26d5679a32|nl|predicaat
nw:6b615ae1-e944-400a-9b49-9f2dd22cf1db,node_words,de,Dunkle Materie,,dark matter,de,dunkle,dark,1,,nw|9b09ca1c-d55f-40ca-a9c6-00702c2c29ed|de|Dunkle Materie
nw:54656b70-955b-4191-9372-cd1666d66062,node_words,en,matter,,Anything with mass and volume.,grc,ὕλη,"wood, matter",0.85,,nw|39425450-68d6-4157-a05e-6573bf6ca2f7|en|matter
nw:1ec90d9c-63a1-4c67-a7bc-d4010ef5a6ac,node_words,sv,kedja,,chain (a series of interconnected rings or links),itc-pro,*katesnā,chain,0.95,,nw|4b7ee92c-2517-4cc8-b8ee-c07ae3930011|sv|kedja
nw:5aee4e6e-a0be-44be-b1b6-d972392ae769,node_words,sv,svar,,"answer, response, reply",non,svar,"answer, reply",0.85,,nw|d7cd51b4-4f54-484f-ac99-139fa253ef22|sv|svar
nw:cd9d9818-b00f-4063-844e-d42464f04465,node_words,nl,massa,,mass,grc,μᾶζα,"barley-bread or cake; lump, mass",0.95,,nw|953484d9-2dae-4f53-9bc2-4cba66828428|nl|massa
nw:a0f8a91a-fa51-463f-82c1-43439b1f365b,node_words,de,Periodensystem (der Elemente),,tabular chart of the chemical elements,de,Periode,"period, menstruation",1,,nw|5ecd18c3-7c24-4998-9bee-9ae7fbe1b08a|de|Periodensystem (der Elemente)
nw:19b39ddf-9e50-4531-9fa7-5fb364e02e07,node_words,hi,विभवांतर,vibhvāntar,potential difference,hi,विभव,potential,0.7,,nw|ca49f474-6969-419d-a3a4-bc095e6c403c|hi|विभवांतर
nw:adbaa2a0-fcc3-4e67-b16e-2e6d4236586b,node_words,hi,जानकारी,jānkārī,"information, knowledge, data",hi,जानकार,"acquainted, knowing",0.85,,nw|e0846238-f770-46ff-b20a-bb9fa678dca1|hi|जानकारी
nw:d58860e2-98e0-4664-a5b9-98b467d0cdee,node_words,fa,کابل,kâbl,cable,fr,câble,cable,0.7,,nw|5dc13585-91c6-4a50-b88f-bfe12b52b155|fa|کابل
nw:60e8749d-c07b-4da3-9c95-cb3fd63a0639,node_words,hi,लेखाचित्र,lekhācitra,graph,hi,लेखा,line,0.5,,nw|c3cf4392-898c-4f4f-9b98-798099db4dad|hi|लेखाचित्र
nw:862402c3-e31f-4872-b352-74c7e79c0603,node_words,el,ιππόκαμπος,ippókampos,"seahorse, sea horse (small marine fish of the genus Hippocampus)",grc,ἱππόκαμπος,"monster with the body of a horse and the tail of a fish, hippocampus",0.5,,nw|941859a1-d14c-4051-a590-e2fb646fc186|el|ιππόκαμπος
nw:a6742c56-a0a3-4ddb-9e10-7fdd15a78ce2,node_words,el,μετρικός χώρος,metrikós chóros,space (mathematics),grc,χῶρος,"space, room, place (in which a thing is)",1,,nw|8bf6a881-554f-483a-95a4-d677371495b6|el|μετρικός χώρος
nw:5b6c7e95-9dda-4cf7-8c00-8c7db2c587a7,node_words,el,μπίρα,bíra,"beer, ale",goh,bior,beer,0.5,,nw|f17faade-e3df-4fb7-a417-3a8eb066b4be|el|μπίρα
nw:86d34443-f930-40c0-a89b-1940bc20a2cb,node_words,el,γεωργία,georgía,agriculture,grc,γεωργία,farm land,1,,nw|d7ff5849-5269-4f5b-ada4-4987a762da61|el|γεωργία
nw:b206e969-ec16-44f7-a849-321960474e36,node_words,la,charta,,"papyrus, paper",grc,χάρτης,paper,0.5,,nw|f0c6bb56-9066-43a6-a378-cc74824f003c|la|charta
nw:e3bcea7d-b238-4ffc-8c7b-107f0e731a4f,node_words,tr,dinamik,,dynamics,fr,dynamique,dynamics,0.95,,nw|79a422fe-c8f7-4af9-8acb-670c3800c64a|tr|dinamik
nw:171db36d-7093-423f-8ca2-a75d1df51069,node_words,tr,cetvel,,"ruler, rule, scale, straightedge",ar,جَدْوَل,"creek, brook, little stream",0.5,,nw|2238d759-51bf-4b88-8fd8-c0a74b911ecd|tr|cetvel
nw:e70c4db0-e491-4ed0-8213-83435ec1f3d0,node_words,fi,liuos,,solution,fi,liueta,to dissolve,0.95,,nw|93ba4619-31b8-4e04-a044-8ec6a72b880a|fi|liuos
nw:11bfa280-ff5c-4d5d-ae91-cf8aaec5dbb9,node_words,tr,güneş ışığı,,sunlight,tr,güneş,sun (light and warmth received from the sun),0.85,,nw|f405e13c-d22f-4da5-8744-479f60b7148b|tr|güneş ışığı
nw:1fa84e0d-220f-4ba4-9d4c-b52def0528f0,node_words,fi,infrapuna,,infrared,fi,puna,red,1,,nw|b3273420-efa0-403f-8c85-d6d29ac3943c|fi|infrapuna
nw:e020a1bf-ac7f-4204-a276-f54f4a85181b,node_words,fi,auringonvalo,,sunlight,fi,aurinko,sun's,0.85,,nw|f405e13c-d22f-4da5-8744-479f60b7148b|fi|auringonvalo
nw:2fe5a590-95c1-4df2-8352-4e96917daf7b,node_words,id,kegiatan,,activity,ms,kegiatan,activity,0.56,,nw|63030985-0fe0-4e29-8a5c-c4990a0ee3fe|id|kegiatan
nw:bf52aed4-1be4-48f6-ab23-691f50b6289e,node_words,fi,sarja,,series (number of things that follow on one after the other),urj-fpr-pro,*śarja,"lath, batten, bar",0.5,,nw|d2503a33-ada0-4519-bb87-c08c1acce77e|fi|sarja
