?name	?p	?label	?desc	?born	?died
"Aristarchus"@en	<http://www.wikidata.org/entity/Q117462326>	"Aristarchus"@en			
"Aristarchus"@en	<http://www.wikidata.org/entity/Q12079021>	"Aristarchus"@en			
"William Jones"@en	<http://www.wikidata.org/entity/Q58239070>	"Bill Jones"@en			
"Hildegard"@en	<http://www.wikidata.org/entity/Q110556512>	"Hildegard"@en			
"Klaus Schmidt"@en	<http://www.wikidata.org/entity/Q112450579>	"Klaus Schmidt"@en		1963	
"Klaus Schmidt"@en	<http://www.wikidata.org/entity/Q124614932>	"Klaus Schmidt"@en		1950	
"Klaus Schmidt"@en	<http://www.wikidata.org/entity/Q58334965>	"Klaus Schmidt"@en			
"Klaus Schmidt"@en	<http://www.wikidata.org/entity/Q58335182>	"Klaus Schmidt"@en			
"Klaus Schmidt"@en	<http://www.wikidata.org/entity/Q94912884>	"Klaus Schmidt"@en		1928	1983
"Klaus Schmidt"@en	<http://www.wikidata.org/entity/Q94942658>	"Klaus Schmidt"@en		1926	1976
"Klaus Schmidt"@en	<http://www.wikidata.org/entity/Q95236210>	"Klaus Schmidt"@en		1959	
"Louis Pasteur"@en	<http://www.wikidata.org/entity/Q130486558>	"Louis Pasteur"@en		1904	1989
"Peter Mitchell"@en	<http://www.wikidata.org/entity/Q112464379>	"Peter Mitchell"@en		1959	
"Sappho"@en	<http://www.wikidata.org/entity/Q105664898>	"Sappho son of Hasdrubal I"@en			
"William James"@en	<http://www.wikidata.org/entity/Q104007503>	"William James"@en			
"William James"@en	<http://www.wikidata.org/entity/Q111431392>	"William James"@en		1991	
"William James"@en	<http://www.wikidata.org/entity/Q131448772>	"William James"@en			
"William Jones"@en	<http://www.wikidata.org/entity/Q108350306>	"William Jones"@en		1751	1796
"William Jones"@en	<http://www.wikidata.org/entity/Q112375583>	"William Jones"@en		1940	
"William Jones"@en	<http://www.wikidata.org/entity/Q21035496>	"William Jones"@en		1874	1936
"William Jones"@en	<http://www.wikidata.org/entity/Q56047320>	"William Jones"@en			
"William Jones"@en	<http://www.wikidata.org/entity/Q56179847>	"William Jones"@en			
"William Jones"@en	<http://www.wikidata.org/entity/Q56179854>	"William Jones"@en			
"William Jones"@en	<http://www.wikidata.org/entity/Q56179864>	"William Jones"@en			
"William Jones"@en	<http://www.wikidata.org/entity/Q64020910>	"William Jones"@en			
"William Jones"@en	<http://www.wikidata.org/entity/Q94125084>	"William Jones"@en		1724	1811
"William Jones"@en	<http://www.wikidata.org/entity/Q94412147>	"William Jones"@en		1795	1855
"John Dalton"@en	<http://www.wikidata.org/entity/Q76317606>	"John Dalton"@en	"(1603-1644)"@en	1603	1644
"Galileo Galilei"@en	<http://www.wikidata.org/entity/Q21549346>	"Galileo Galilei"@en	"1629 - 1652 (22 years)"@en	1629	1652
"William Shakespeare"@en	<http://www.wikidata.org/entity/Q76164656>	"William Shakespeare"@en	"(1656-1711)"@en	1656	1711
"John Dalton"@en	<http://www.wikidata.org/entity/Q75757784>	"John Dalton"@en	"(1675-1701)"@en	1675	1701
"William Jones"@en	<http://www.wikidata.org/entity/Q105821067>	"William Jones"@en	"1685 - uncertain"@en	1685	
"William Shakespeare"@en	<http://www.wikidata.org/entity/Q76164668>	"William Shakespeare"@en	"(1696-1767)"@en	1696	1767
"William Jones"@en	<http://www.wikidata.org/entity/Q120147977>	"William Jones"@en	"(1708–1779)"@en	1708	1779
"John Dalton"@en	<http://www.wikidata.org/entity/Q75757774>	"John Dalton"@en	"(1725-1811)"@en	1725	1811
"William Jones"@en	<http://www.wikidata.org/entity/Q75577060>	"William Jones"@en	"(1742-1831)"@en	1742	1831
