key,lang,word,root_form,claude-sonnet-5,claude-haiku-4-5-20251001,consensus
nw:dc2353ae-386b-4ecf-a35f-3fc0f0c3d1bc,zh,謂語,謂 + 語,correct,correct,correct
nw:0157cb8b-ce00-4711-844b-a1fa1e8fc6b1,zh,分配,分 + 配,correct,correct,correct
nw:ea791ca2-a15b-4fd1-ad27-c50884ffbd75,zh,域,土 + 或,wrong_gloss,wrong_gloss,wrong_gloss
nw:222c7f98-da50-46be-a608-232db053a205,zh,學習,學 + 習,correct,correct,correct
nw:3ee2ce2a-0b1c-4f0e-82ab-31cd14be186d,zh,各向异性,各 + 向 + 异 + 性,wrong_homograph,wrong_gloss,
nw:47a3feeb-fff9-4cde-85da-96c94ccc8ff9,ja,理論,理 + 論,correct,correct,correct
nw:3c34db10-e142-4599-9ad4-a4c42f74bc26,zh,量子場論,量 + 子 + 場 + 論,correct,correct,correct
nw:a0965273-5e7d-4c87-8720-e05a8d3c1765,zh,完整性,完 + 整 + 性,wrong_gloss,correct,
nw:25d4caed-e7f5-4074-8f46-0c3f9b076e54,zh,質量,質 + 量,correct,correct,correct
nw:b96fb2b9-f02c-4980-900d-35b083169029,de,komplexe Zahl,*del-,correct,cannot_tell,
nw:ac56d9a2-0d27-4240-89cb-9273c68eb53b,de,Elastizität,elastisch,correct,correct,correct
nw:6d05e5bf-fbf6-48cf-8ba0-7a76a6969434,nl,wet,*weyd-,correct,correct,correct
nw:c63e47fb-da0a-4ed5-a683-9f50d23e1a2f,nl,halfgeleider,half,correct,correct,correct
nw:2ded74df-bc33-4dc0-85c1-f5ca2c317f62,en,ion,εἶμι,correct,correct,correct
nw:1704e4df-c53e-40f5-bffc-5a214965b9dc,en,equation,aequus,correct,correct,correct
nw:b54165b9-6a51-4a43-9907-f7d6cfc7f8f9,nl,divergentie,*h₂wérg-e-ti,cannot_tell,cannot_tell,cannot_tell
nw:48e2f363-3412-4e6e-b1ec-b9bc2425f6f3,de,Kerze,cēra,correct,correct,correct
nw:4361dd20-55c7-4aa4-968d-08b9d682635e,en,neuron,*(s)neh₁-,correct,correct,correct
nw:37bb4ed6-8ec4-4ea4-87f2-d41d796c7431,en,field,*pleth₂-,wrong_homograph,wrong_gloss,
nw:aca5f44b-2e1f-468f-8f04-9c11ad815b62,nl,maat,*med-,wrong_homograph,correct,
nw:7d88f3e2-c5ee-4d4b-adc9-6f6ab72befa4,nl,predicaat,praedicātus,wrong_homograph,correct,
nw:6b615ae1-e944-400a-9b49-9f2dd22cf1db,de,Dunkle Materie,dunkle,correct,correct,correct
nw:54656b70-955b-4191-9372-cd1666d66062,en,matter,ὕλη,wrong_homograph,correct,
nw:1ec90d9c-63a1-4c67-a7bc-d4010ef5a6ac,sv,kedja,*katesnā,correct,correct,correct
nw:5aee4e6e-a0be-44be-b1b6-d972392ae769,sv,svar,svar,correct,correct,correct
nw:cd9d9818-b00f-4063-844e-d42464f04465,nl,massa,μᾶζα,correct,correct,correct
nw:a0f8a91a-fa51-463f-82c1-43439b1f365b,de,Periodensystem (der Elemente),Periode,cannot_tell,wrong_gloss,
nw:19b39ddf-9e50-4531-9fa7-5fb364e02e07,hi,विभवांतर,विभव,correct,correct,correct
nw:adbaa2a0-fcc3-4e67-b16e-2e6d4236586b,hi,जानकारी,जानकार,correct,correct,correct
nw:d58860e2-98e0-4664-a5b9-98b467d0cdee,fa,کابل,câble,correct,correct,correct
nw:60e8749d-c07b-4da3-9c95-cb3fd63a0639,hi,लेखाचित्र,लेखा,correct,correct,correct
nw:862402c3-e31f-4872-b352-74c7e79c0603,el,ιππόκαμπος,ἱππόκαμπος,correct,correct,correct
nw:a6742c56-a0a3-4ddb-9e10-7fdd15a78ce2,el,μετρικός χώρος,χῶρος,cannot_tell,correct,
nw:5b6c7e95-9dda-4cf7-8c00-8c7db2c587a7,el,μπίρα,bior,correct,correct,correct
nw:86d34443-f930-40c0-a89b-1940bc20a2cb,el,γεωργία,γεωργία,wrong_gloss,correct,
nw:b206e969-ec16-44f7-a849-321960474e36,la,charta,χάρτης,correct,correct,correct
nw:e3bcea7d-b238-4ffc-8c7b-107f0e731a4f,tr,dinamik,dynamique,correct,correct,correct
nw:171db36d-7093-423f-8ca2-a75d1df51069,tr,cetvel,جَدْوَل,correct,wrong_gloss,
nw:e70c4db0-e491-4ed0-8213-83435ec1f3d0,fi,liuos,liueta,correct,correct,correct
nw:11bfa280-ff5c-4d5d-ae91-cf8aaec5dbb9,tr,güneş ışığı,güneş,correct,wrong_gloss,
nw:1fa84e0d-220f-4ba4-9d4c-b52def0528f0,fi,infrapuna,puna,correct,correct,correct
nw:e020a1bf-ac7f-4204-a276-f54f4a85181b,fi,auringonvalo,aurinko,correct,wrong_gloss,
nw:2fe5a590-95c1-4df2-8352-4e96917daf7b,id,kegiatan,kegiatan,correct,correct,correct
nw:bf52aed4-1be4-48f6-ab23-691f50b6289e,fi,sarja,*śarja,correct,wrong_gloss,
nw:85d660bd-0895-485a-8cbd-37364fe59f42,fi,konfiguraatio,figūrō,wrong_gloss,correct,
nw:541ede83-b0a6-4eb9-8bcc-bd0c691992bd,id,energi aktivasi,energi,correct,,
nw:0ed29522-5b06-40d5-a362-71daeb4acf53,fi,spektri,spectrum,correct,correct,correct
nw:e08449c0-2f5b-4f4b-90fb-ee0d54c1094d,th,การเลี้ยวเบน,การ,correct,wrong_gloss,
nw:427268a7-8eb9-4ed0-8b2f-37063ac4efcf,tr,gaz,χάος,correct,wrong_gloss,
